ISO3,country,gcamregion
ABW,Aruba,Other_Latin_America
AFG,Afghanistan,Other_Asia
AGO,Angola,Sub_Saharan_Africa
ALB,Albania,Europe
ARE,United Arab Emirates,Middle_East_North_Afrrica
ARG,Argentina,Other_Latin_America
ARM,Armenia,Other_Asia
AUS,Australia,Pacific_OECD
AUT,Austria,Europe
AZE,Azerbaijan,Other_Asia
BDI,Burundi,Sub_Saharan_Africa
BEL,Belgium,Europe
BEN,Benin,Sub_Saharan_Africa
BFA,Burkina Faso,Sub_Saharan_Africa
BGD,Bangladesh,Other_Asia
BGR,Bulgaria,Europe
BHR,Bahrain,Middle_East_North_Afrrica
BHS,Bahamas,Other_Latin_America
BIH,Bosnia and Herzegovina,Europe
BLR,Belarus,Europe
BLZ,Belize,Other_Latin_America
BOL,Bolivia,Other_Latin_America
BRA,Brazil,Brazil
BRB,Barbados,Other_Latin_America
BRN,Brunei,Other_Asia
BTN,Bhutan,Other_Asia
BWA,Botswana,Sub_Saharan_Africa
CAF,Central African Republic,Sub_Saharan_Africa
CAN,Canada,Canada
CHE,Switzerland,Europe
CHL,Chile,Other_Latin_America
CHN,China,China
CIV,Côte d'Ivoire,Sub_Saharan_Africa
CMR,Cameroon,Sub_Saharan_Africa
COD,"Congo, the Democratic Republic of the",Sub_Saharan_Africa
COG,Congo,Sub_Saharan_Africa
COL,Colombia,Other_Latin_America
COM,Comoros,Sub_Saharan_Africa
CPV,Cape Verde,Sub_Saharan_Africa
CRI,Costa Rica,Other_Latin_America
CUB,Cuba,Other_Latin_America
CYP,Cyprus,Europe
CZE,Czech Republic,Europe
DEU,Germany,Europe
DJI,Djibouti,Sub_Saharan_Africa
DNK,Denmark,Europe
DOM,Dominican Republic,Other_Latin_America
DZA,Algeria,Middle_East_North_Afrrica
ECU,Ecuador,Other_Latin_America
EGY,Egypt,Middle_East_North_Afrrica
ERI,Eritrea,Sub_Saharan_Africa
ESP,Spain,Europe
EST,Estonia,Europe
ETH,Ethiopia,Sub_Saharan_Africa
FIN,Finland,Europe
FJI,Fiji,Other_Asia
FRA,France,Europe
GAB,Gabon,Sub_Saharan_Africa
GBR,United Kingdom,Europe
GEO,Georgia,Other_Asia
GHA,Ghana,Sub_Saharan_Africa
GIN,Guinea,Sub_Saharan_Africa
GMB,Gambia,Sub_Saharan_Africa
GNB,Guinea-Bissau,Sub_Saharan_Africa
GNQ,Equatorial Guinea,Sub_Saharan_Africa
GRC,Greece,Europe
GTM,Guatemala,Other_Latin_America
GUY,Guyana,Other_Latin_America
HKG,Hong Kong,China
HND,Honduras,Other_Latin_America
HRV,Croatia,Europe
HTI,Haiti,Other_Latin_America
HUN,Hungary,Europe
IDN,Indonesia,Other_Asia
IND,India,India
IRL,Ireland,Europe
IRN,"Iran, Islamic Republic of",Middle_East_North_Afrrica
IRQ,Iraq,Middle_East_North_Afrrica
ISL,Iceland,Europe
ISR,Israel,Middle_East_North_Afrrica
ITA,Italy,Europe
JAM,Jamaica,Other_Latin_America
JOR,Jordan,Middle_East_North_Afrrica
JPN,Japan,Pacific_OECD
KAZ,Kazakhstan,Other_Asia
KEN,Kenya,Sub_Saharan_Africa
KGZ,Kyrgyzstan,Other_Asia
KHM,Cambodia,Other_Asia
KOR,"Korea, Republic of",Pacific_OECD
KWT,Kuwait,Middle_East_North_Afrrica
LAO,Lao People's Democratic Republic,Other_Asia
LBN,Lebanon,Middle_East_North_Afrrica
LBR,Liberia,Sub_Saharan_Africa
LBY,Libya,Middle_East_North_Afrrica
LCA,Saint Lucia,Other_Latin_America
LKA,Sri Lanka,Other_Asia
LSO,Lesotho,Sub_Saharan_Africa
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
LVA,Latvia,Europe
MAC,Macao,China
MAR,Morocco,Middle_East_North_Afrrica
MDA,"Moldova, Republic of",Europe
MDG,Madagascar,Sub_Saharan_Africa
MDV,Maldives,Other_Asia
MEX,Mexico,Other_Latin_America
MKD,"Macedonia, the former Yugoslav Republic of",Europe
MLI,Mali,Sub_Saharan_Africa
MLT,Malta,Europe
MMR,Burma,Other_Asia
MNE,Montenegro,Europe
MNG,Mongolia,Other_Asia
MOZ,Mozambique,Sub_Saharan_Africa
MRT,Mauritania,Sub_Saharan_Africa
MUS,Mauritius,Sub_Saharan_Africa
MWI,Malawi,Sub_Saharan_Africa
MYS,Malaysia,Other_Asia
NAM,Namibia,Sub_Saharan_Africa
NCL,New Caledonia,Other_Asia
NER,Niger,Sub_Saharan_Africa
NGA,Nigeria,Sub_Saharan_Africa
NIC,Nicaragua,Other_Latin_America
NLD,Netherlands,Europe
NOR,Norway,Europe
NPL,Nepal,Other_Asia
NZL,New Zealand,Pacific_OECD
OMN,Oman,Middle_East_North_Afrrica
PAK,Pakistan,Other_Asia
PAN,Panama,Other_Latin_America
PER,Peru,Other_Latin_America
PHL,Philippines,Other_Asia
PNG,Papua New Guinea,Other_Asia
POL,Poland,Europe
PRI,Puerto Rico,USA
PRT,Portugal,Europe
PRY,Paraguay,Other_Latin_America
PSE,"Palestinian Territory, Occupied",Middle_East_North_Afrrica
PYF,French Polynesia,Other_Asia
QAT,Qatar,Middle_East_North_Afrrica
ROU,Romania,Europe
RUS,Russia,Russia
RWA,Rwanda,Sub_Saharan_Africa
SAU,Saudi Arabia,Middle_East_North_Afrrica
SDN,Sudan,Sub_Saharan_Africa
SEN,Senegal,Sub_Saharan_Africa
SGP,Singapore,Other_Asia
SLB,Solomon Islands,Other_Asia
SLE,Sierra Leone,Sub_Saharan_Africa
SLV,El Salvador,Other_Latin_America
SOM,Somalia,Sub_Saharan_Africa
SRB,Serbia,Europe
STP,Sao Tome and Principe,Sub_Saharan_Africa
SUR,Suriname,Other_Latin_America
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SWE,Sweden,Europe
SWZ,Swaziland,Sub_Saharan_Africa
SYR,Syrian Arab Republic,Middle_East_North_Afrrica
TCD,Chad,Sub_Saharan_Africa
TGO,Togo,Sub_Saharan_Africa
THA,Thailand,Other_Asia
TJK,Tajikistan,Other_Asia
TKM,Turkmenistan,Other_Asia
TLS,Timor-Leste,Other_Asia
TON,Tonga,Other_Asia
TTO,Trinidad and Tobago,Other_Latin_America
TUN,Tunisia,Middle_East_North_Afrrica
TUR,Turkey,Europe
TWN,Taiwan,China
TZA,"Tanzania, United Republic of",Sub_Saharan_Africa
UGA,Uganda,Sub_Saharan_Africa
UKR,Ukraine,Europe
URY,Uruguay,Other_Latin_America
USA,United States,USA
UZB,Uzbekistan,Other_Asia
VCT,Saint Vincent & the Grenadines,Other_Latin_America
VEN,Venezuela,Other_Latin_America
VNM,Viet Nam,Other_Asia
VUT,Vanuatu,Other_Asia
WSM,Samoa,Other_Asia
YEM,Yemen,Middle_East_North_Afrrica
ZAF,South Africa,Sub_Saharan_Africa
ZMB,Zambia,Sub_Saharan_Africa
ZWE,Zimbabwe,Sub_Saharan_Africa
